host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_90,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,has_gym,has_pool,has_free_parking,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Entire home/apt,Hotel room,Private room,Shared room,host_response_time_ordinal,antiguedad
0.33502896137669647,-0.27209353858683344,True,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,67518.0,-0.11521761010156528,1.0804604659214114,-0.8953556666957087,-0.3409217658781037,-0.012852596024007304,0.4455134355542254,0.41310298620662567,0.2212915281829699,0.5505535912682106,4.93,0.31575103833439366,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.213191732522994
0.33502896137669647,0.5822068014344927,False,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,22375.0,0.0598278535694971,-0.559903735681628,-0.31619445125814966,-0.1292506988467353,-0.2677845982172501,-0.5054032775523575,-0.050598769323372754,-0.48582512847305326,0.038273774971990956,4.87,-0.19821553941935796,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.39419895616713135
0.22439581869327252,0.2974400214273836,False,False,-1.4847766819726473,-0.4098371822700576,-0.18185099803298319,0.16358199067149112,79633.6,1.0225779037603402,0.48327718515348456,-1.657409897534602,-0.693706877597051,-0.87962140348102,-0.5165905330006689,-0.7672287551424588,-0.07441180096409754,-0.192252142361305,4.7,-0.5626645672811136,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2.168044593958518
0.058446104668135046,0.33812098999982776,True,True,0.9217213182534492,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,52511.0,-0.1589789760193309,1.0804604659214114,1.0859853334854144,-0.693706877597051,-2.7661182197109904,-1.4563199906589404,-2.0740246116360854,-0.4215417960497795,-0.6020759953982864,4.39,-1.7868395070218577,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.154209180527469
0.33502896137669647,0.5415258328620485,True,True,0.9217213182534492,0.6615636118527859,1.1316833352184472,0.16358199067149112,113360.0,-0.1589789760193309,-0.06855040340421992,-0.7734269897614857,1.0702186809976857,0.5479978088011159,0.3895771583126629,0.370948281158445,0.2855748606062494,0.23037870608306904,4.93,-0.011318602054357746,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.1243538147025727
0.22439581869327252,0.47643628314613784,False,False,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,0.16358199067149112,117042.4,0.4099187809116218,1.0804604659214114,-1.657409897534602,-0.693706877597051,-1.3283017273411213,-1.0088297727264302,-1.239361451682089,-0.3186884641725391,-0.46119904591682453,4.61,-1.039251757561857,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.122169275739775
0.33502896137669647,0.5008448642896044,True,True,-0.6826106818972819,0.6615636118527859,-0.18185099803298319,-0.7239904573328133,126026.0,-0.11521761010156528,-0.34824383870059067,-0.7124626512943742,0.2940914352160015,0.7009570101170607,0.6692585445204805,0.6238765114475326,0.4784248578760708,0.4224836371941528,4.92,0.12885410096939345,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8927926846460614
0.33502896137669647,0.5008448642896044,True,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,84017.0,-0.11521761010156528,-0.48431091533125753,-0.40764095895881686,1.281889748029054,0.5479978088011159,0.5573859900373554,0.6660312164957171,0.2212915281829699,0.166343729046043,4.92,0.2690268039931405,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8927926846460614
0.33502896137669647,0.5008448642896044,True,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,71415.0,-0.11521761010156528,-0.48431091533125753,-1.657409897534602,0.2940914352160015,0.5989842092397673,0.6692585445204805,0.6660312164957171,0.3498581930295232,0.6145885683052366,4.92,0.40919950701689173,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8927926846460614
0.33502896137669647,0.4601638957171602,True,True,0.11955531817808365,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,79669.0,-0.11521761010156528,-0.06855040340421992,0.11055591801163069,-0.6231498552532615,-0.11482539690130532,0.10989577210484527,-0.1770628844679147,0.3498581930295232,0.038273774971990956,4.84,-0.291664008101856,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.361221537032058
0.33502896137669647,0.5008448642896044,True,True,-0.6826106818972819,0.6615636118527859,-0.18185099803298319,-0.7239904573328133,147030.0,-0.11521761010156528,-0.48431091533125753,-1.4135525436661562,0.5057625022473698,0.7009570101170607,0.6133222672789179,0.7503406265920785,0.414141525452797,0.4224836371941528,4.88,0.40919950701689173,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8927926846460614
